Code,OI/LO/KUSP
OI.1,Active Living: Physical activity embedded into daily living contributes to an individual’s health and well-being across a lifespan.
OI.1.GQ.1,What role can personal reflection and goal setting play in the development of physical fitness?
OI.1.GQ.1.LO.1,Students examine how planning for physical fitness can enhance active living.
OI.1.GQ.1.LO.1.U.1,Setting physical fitness goals can build a lasting commitment to active living.
OI.1.GQ.1.LO.1.U.1.K.1,Personal fitness or physical activity plans are used to improve or maintain physical fitness.
OI.1.GQ.1.LO.1.U.1.K.2,"Meaningful experiences in various physical activities over time can help individuals develop personal interests, meet needs, and set goals."
OI.1.GQ.1.LO.1.U.1.K.3,Personal connections to physical activity can influence an individual’s engagement within the activity.
OI.1.GQ.1.LO.1.U.1.K.4,"Personal connections are the needs, interests, goals, and challenges that can help individuals develop deeper understandings of their strengths and motivations."
OI.1.GQ.1.LO.1.U.1.K.5,Setting goals can provide a routine that encourages consistent behaviours and positive habits.
OI.1.GQ.1.LO.1.U.1.K.6,Fitness knowledge can support an individual’s ability to meet active-living goals.
OI.1.GQ.1.LO.1.U.1.K.7,"Accessing resources, such as coaching, community sports, public spaces, wellness apps, or personal fitness equipment, can support fitness and active living."
OI.1.GQ.1.LO.1.U.1.K.8,"Personal fitness or physical activity plans can be supported by applying basic training principles that include
- overload principle
- principle of specificity
- reversibility principle
- principle of diminishing returns"
OI.1.GQ.1.LO.1.U.1.K.9,The overload principle refers to progressively increasing demands for health-related components of fitness to improve performance.
OI.1.GQ.1.LO.1.U.1.K.10,"The principle of specificity states that to improve a particular component of fitness, an individual must emphasize that component during training, such as improving flexibility by participating in stretching exercises."
OI.1.GQ.1.LO.1.U.1.K.11,The reversibility principle states that individuals may lose the beneficial effects of training or gains from personal fitness routines when they become inactive or stop training.
OI.1.GQ.1.LO.1.U.1.K.12,"The principle of diminishing returns states that when individuals start training, their fitness levels increase rapidly, but as training continues, the rate of improvement diminishes."
OI.1.GQ.1.LO.1.U.1.SP.1,Develop a personal fitness or physical activity plan.
OI.1.GQ.1.LO.1.U.1.SP.2,"Discuss ways to improve physical fitness at home, at school, and in the community."
OI.1.GQ.1.LO.1.U.1.SP.3,Research ways to access resources for physical health and personal fitness.
OI.1.GQ.1.LO.1.U.1.SP.4,Relate basic training principles to performance in physical activities.
OI.1.GQ.1.LO.1.U.1.SP.5,"Relate physical activities to interests, needs, challenges, and goals."
OI.1.GQ.1.LO.1.U.1.SP.6,Participate in personally challenging physical activities.
OI.2,Movement Skill Development: Movement skill development is a foundational component of becoming a physically literate individual.
OI.2.GQ.2,How can the development of specialized movement patterns or skills support innovation and creativity?
OI.2.GQ.2.LO.2,Students explore specialized movement patterns and skills within games and physical activities.
OI.2.GQ.2.LO.2.U.1,"Specialized movement patterns and skills can support innovation, creativity, and performance in games and physical activities."
OI.2.GQ.2.LO.2.U.1.K.1,"Specialized movement patterns or skills are unique to a specific sport or physical activity and can be task-specific, such as forehand serve in tennis, overarm serve in volleyball, or delivery of the stone in curling."
OI.2.GQ.2.LO.2.U.1.K.2,"Practising and refining specialized movement patterns and skills can contribute to enhanced performance, or it can produce new movement patterns or skills."
OI.2.GQ.2.LO.2.U.1.K.3,Improvisation is the ability to think creatively in the moment when responding to various situations or challenges.
OI.2.GQ.2.LO.2.U.1.K.4,"Movement pattern and skill development can be supported through various practice methods, including
- whole
- whole-part-whole
- part
- progressive part"
OI.2.GQ.2.LO.2.U.1.K.5,"Feedback and self-assessment can be effective ways to highlight strengths, address areas for growth, and encourage positive actions, attitudes, and behaviours when they are
- given as close to the action as possible, i.e., timely
- related to the movement pattern or skill, i.e., specific
- free from personal bias or influence, i.e., objective
- phrased positively and containing a solution, i.e., constructive"
OI.2.GQ.2.LO.2.U.1.K.6,"Rhythmic activities can be set to music or other stimuli, such as poetry, and can tell a story or express emotions and feelings."
OI.2.GQ.2.LO.2.U.1.K.7,Combining movement patterns creates a sequence of movements that can be used in rhythmic or physical activities.
OI.2.GQ.2.LO.2.U.1.SP.1,Practise specialized movement patterns and skills in a variety of games and physical activities.
OI.2.GQ.2.LO.2.U.1.SP.2,Explore innovative techniques and improvisation through movement patterns or skills.
