Code,OI/LO/KUSP
OI.1,"Career Exploration: Purposeful exploration of past and present experiences can support a healthy work-life balance, contribute to self-knowledge, and assist in navigating transitions while pursuing career and educational goals."
OI.1.GQ.1,How can career plans be informed?
OI.1.GQ.1.LO.1,Students apply self-awareness to career exploration.
OI.1.GQ.1.LO.1.U.1,Self-awareness and career exploration can guide program and career plans.
OI.1.GQ.1.LO.1.U.1.K.1,Self-awareness can be informed by self-assessment.
OI.1.GQ.1.LO.1.U.1.K.2,"Self-assessment is the ability to evaluate strengths and limitations, including strengths and limitations related to employability skills."
OI.1.GQ.1.LO.1.U.1.K.3,Self-assessment can support the identification of opportunities for growth related to career pathways.
OI.1.GQ.1.LO.1.U.1.K.4,"Self-assessment and career exploration can contribute to career planning, which may evolve."
OI.1.GQ.1.LO.1.U.1.K.5,Career exploration involves investigation of educational requirements associated with career pathways.
OI.1.GQ.1.LO.1.U.1.K.6,"A career pathway is the opportunity to gain the knowledge, skills, and experiences suited for a career."
OI.1.GQ.1.LO.1.U.1.K.7,"Career clusters are groups of occupations that require similar skills, e.g., National Occupational Classification (NOC)."
OI.1.GQ.1.LO.1.U.1.K.8,Career plans outline the steps required to follow a career pathway.
OI.1.GQ.1.LO.1.U.1.K.9,Career plans include goals related to curricular programming selection.
OI.1.GQ.1.LO.1.U.1.K.10,Career plans include goals related to managing transitions.
OI.1.GQ.1.LO.1.U.1.K.11,"Program plans identify courses, interests, strengths, and pathways that contribute to high school completion."
OI.1.GQ.1.LO.1.U.1.K.12,"Strategies that can support management of transitions include
- accessing supports
- managing emotions
- adapting to new situations"
OI.1.GQ.1.LO.1.U.1.SP.1,Assess personal strengths and opportunities for growth.
OI.1.GQ.1.LO.1.U.1.SP.2,Relate personal strengths and opportunities for growth to career pathways of interest.
OI.1.GQ.1.LO.1.U.1.SP.3,Research various career pathways of interest.
OI.1.GQ.1.LO.1.U.1.SP.4,Engage in conversations with individuals in career pathways of interest.
OI.1.GQ.1.LO.1.U.1.SP.5,Develop career plans based on career pathways of interest.
OI.1.GQ.1.LO.1.U.1.SP.6,Discuss strategies for managing transitions.
OI.1.GQ.1.LO.1.U.1.SP.7,Relate educational requirements in career pathways of interest to secondary curricular programming.
OI.1.GQ.1.LO.1.U.1.SP.8,Investigate various career clusters.
OI.1.GQ.1.LO.1.U.1.SP.9,Relate career clusters to program and career plans.
OI.1.GQ.1.LO.1.U.1.SP.10,Engage in program and career planning related to high school completion.
OI.2,Career Opportunities: Volunteer or work-integrated learning experiences can influence career development and promote world-of-work and community interactions.
OI.2.GQ.2,How might experiences inform career development?
OI.2.GQ.2.LO.2,Students relate experiences and employment opportunities to career pathways.
OI.2.GQ.2.LO.2.U.1,Experiences can spark interest in career pathways.
OI.2.GQ.2.LO.2.U.1.K.1,Volunteering can inform interest in career pathways through exposure to varied types of work and work environments.
OI.2.GQ.2.LO.2.U.1.K.2,Entrepreneurship experiences can inform interest in career pathways through generation and pursuit of innovative ideas.
OI.2.GQ.2.LO.2.U.1.K.3,"Entrepreneurship experiences can provide exposure to business operations, e.g., development of a business plan."
OI.2.GQ.2.LO.2.U.1.K.4,"Entrepreneurship experiences can provide exposure to unique responsibilities of entrepreneurs, e.g., managing employees and mitigating financial risks."
OI.2.GQ.2.LO.2.U.1.K.5,Experiences can support development of skills required across various career pathways.
OI.2.GQ.2.LO.2.U.1.K.6,"Skills can be developed through formal experiences, e.g., school-based courses or hands-on training."
OI.2.GQ.2.LO.2.U.1.K.7,"Skills can be developed through informal experiences, e.g., learning from family members."
OI.2.GQ.2.LO.2.U.1.K.8,"Some skills, such as proficiency in additional languages and technology skills, can be developed through both formal and informal experiences."
OI.2.GQ.2.LO.2.U.1.K.9,"Some careers in Canada require proficiency in or knowledge of Canada’s two official languages, French and English."
OI.2.GQ.2.LO.2.U.1.SP.1,"Research volunteer, work-integrated learning, and entrepreneurship opportunities related to career pathways of interest."
OI.2.GQ.2.LO.2.U.1.SP.2,"Engage in conversations with individuals about volunteering, entrepreneurship opportunities, and work-integrated learning."
OI.2.GQ.2.LO.2.U.1.SP.3,"Explore, inside or outside of school, a volunteer, work-integrated learning, or entrepreneurship opportunity related to career pathways of interest."
OI.2.GQ.2.LO.2.U.1.SP.4,"Reflect on skills developed in volunteer, work-integrated learning, or entrepreneurship opportunities."
OI.2.GQ.2.LO.2.U.1.SP.5,Evaluate the relevance of employability and job-specific skills to career pathways of interest.
OI.2.GQ.2.LO.2.U.1.SP.6,Explore which careers require bilingualism as an asset or prerequisite.
OI.2.GQ.2.LO.2.U.2,Employment opportunities can contribute to career pathways.
OI.2.GQ.2.LO.2.U.2.K.1,"Attaining employment can be supported by resources, such as online employment tools and personal networks."
OI.2.GQ.2.LO.2.U.2.K.2,"Employment services are available for newcomers, Francophone individuals, and under-represented groups."
OI.2.GQ.2.LO.2.U.2.K.3,"Attaining employment can be supported by actions, such as writing resumés and cover letters, completing online employment profiles and applications, and preparing for interviews."
OI.2.GQ.2.LO.2.U.2.K.4,Communication strategies related to attaining employment can be adjusted according to prospective employer.
OI.2.GQ.2.LO.2.U.2.K.5,"Attaining employment can be influenced by skills, education, experience, and accessible opportunities."
OI.2.GQ.2.LO.2.U.2.K.6,"Attaining employment can be influenced by digital identity, e.g., social media profiles."
OI.2.GQ.2.LO.2.U.2.SP.1,Investigate resources for exploration of employment opportunities.
OI.2.GQ.2.LO.2.U.2.SP.2,Engage in actions that support the attainment of employment.
OI.2.GQ.2.LO.2.U.2.SP.3,Explain the role of communication in attaining employment.
OI.2.GQ.2.LO.2.U.2.SP.4,Discuss factors that can influence the attainment of employment.
OI.2.GQ.2.LO.2.U.2.SP.5,Explain risks and benefits related to digital identity in the attainment of employment.
OI.2.GQ.2.LO.2.U.2.SP.6,Reflect on personal digital identity.
OI.3,"Financial Literacy: Informed financial decision making contributes to the well-being of individuals, groups, and communities."
OI.3.GQ.3,How can financial literacy be enhanced?
OI.3.GQ.3.LO.3,Students examine financial security.
OI.3.GQ.3.LO.3.U.1,Financial products and services can support financial security.
OI.3.GQ.3.LO.3.U.1.K.1,"Financial security is about the stability of one’s finances, having enough to spend on personal enjoyment, and being able to withstand financial challenges."
OI.3.GQ.3.LO.3.U.1.K.2,"Physical, social, and emotional well-being are positively affected by financial security, which benefits mental health."
OI.3.GQ.3.LO.3.U.1.K.3,Financial security involves evaluation of priorities and resources regarding immediate or future spending and saving.
OI.3.GQ.3.LO.3.U.1.K.4,"Financial security can be impacted by
- personal savings
- investments
- credit
- financial services and products
- lifestyle choices
- social and environmental factors"
OI.3.GQ.3.LO.3.U.1.K.5,"Social and environmental factors are conditions that can impact a person’s or group’s financial security, e.g.,
- job stability
- inflation
- natural disasters
- influences of family, culture, and community"
OI.3.GQ.3.LO.3.U.1.K.6,"Financial security habits include verifying deposits and withdrawals; tracking account activity; identifying fraud; protecting personal data, such as PINs; and reporting suspicious activities."
OI.3.GQ.3.LO.3.U.1.K.7,"An individual’s digital identity is created by a collection of data based on online transactions and activities, which can be called a digital footprint."
OI.3.GQ.3.LO.3.U.1.K.8,"Financial security can be impacted by an individual’s digital footprint; e.g., publicly available personal information may lead to identity theft."
OI.3.GQ.3.LO.3.U.1.K.9,"Financial institutions offer investment products such as
- savings accounts
- guaranteed investment certificates
- stocks"
OI.3.GQ.3.LO.3.U.1.K.10,Some investment products can be more volatile than others and may appreciate and depreciate in value.
OI.3.GQ.3.LO.3.U.1.K.11,"Financial institutions can offer financial services, e.g., online banking and financial apps, related to investment products."
OI.3.GQ.3.LO.3.U.1.K.12,A debit card accesses personal funds in an account to make contactless purchases.
OI.3.GQ.3.LO.3.U.1.K.13,"If there are insufficient funds in an account, overdraft fees may apply."
OI.3.GQ.3.LO.3.U.1.K.14,Credit involves borrowing money until the time of repayment.
OI.3.GQ.3.LO.3.U.1.K.15,Forms of credit include overdraft and credit cards.
OI.3.GQ.3.LO.3.U.1.K.16,Interest costs can be associated with credit.
OI.3.GQ.3.LO.3.U.1.K.17,"A credit card tallies purchases, and a minimum monthly payment needs to be made."
OI.3.GQ.3.LO.3.U.1.K.18,"If the balance on a credit card is not paid in full, the interest will be compounded until the debt is paid."
OI.3.GQ.3.LO.3.U.1.K.19,"When choosing credit card options, individuals should consider
- interest rate
- fees
- rewards"
OI.3.GQ.3.LO.3.U.1.SP.1,Explore personal priorities and resources in relation to financial security.
OI.3.GQ.3.LO.3.U.1.SP.2,Explain factors that impact financial security.
OI.3.GQ.3.LO.3.U.1.SP.3,Discuss social and environmental factors that can influence financial security.
OI.3.GQ.3.LO.3.U.1.SP.4,Investigate the benefits and risks of a digital footprint on financial security.
OI.3.GQ.3.LO.3.U.1.SP.5,Discuss the benefits and risks of investment products.
OI.3.GQ.3.LO.3.U.1.SP.6,Explore how financial institutions support managing finances.
OI.3.GQ.3.LO.3.U.1.SP.7,Explore debit and credit card options offered by various financial institutions.
OI.3.GQ.3.LO.3.U.1.SP.8,Analyze financial security habits.
