Code,OI/LO/KUSP
OI.1,Active Living: Physical activity embedded into daily living contributes to an individual’s health and well-being across a lifespan.
OI.1.GQ.1,What role does physical fitness play in an individual’s attitude toward regular physical activity?
OI.1.GQ.1.LO.1,Students investigate how physical fitness can support active living.
OI.1.GQ.1.LO.1.U.1,Commitment to regular physical activity can be influenced by physical fitness.
OI.1.GQ.1.LO.1.U.1.K.1,There is a cyclical relationship between physical fitness and a commitment to regular physical activity.
OI.1.GQ.1.LO.1.U.1.K.2,"Personal factors that can motivate individuals to engage in regular physical activity are
- improved physical fitness
- improved self-confidence
- increased enjoyment
- a sense of achievement"
OI.1.GQ.1.LO.1.U.1.K.3,An individual’s commitment to a physical activity routine can make physical activity feel easier and more enjoyable and reduce barriers such as fatigue or discomfort.
OI.1.GQ.1.LO.1.U.1.K.4,"Assessment of personal strengths, interests, challenges, and goals can improve motivation toward engaging in physical activities that foster physical fitness."
OI.1.GQ.1.LO.1.U.1.K.5,"Commitment to regular physical activity involves fostering a positive attitude by participating in various physical activities at school, with family, or in the community."
OI.1.GQ.1.LO.1.U.1.K.6,"Regular physical activity can help alleviate symptoms of mental health challenges, such as stress and anxiety, and contribute to an individual’s social skills and self-esteem."
OI.1.GQ.1.LO.1.U.1.K.7,"Health-related components of fitness include
- cardiorespiratory endurance
- muscular strength
- muscular endurance
- flexibility"
OI.1.GQ.1.LO.1.U.1.K.8,"Skill-related components of fitness include
- agility
- power
- reaction time
- speed
- coordination"
OI.1.GQ.1.LO.1.U.1.K.9,"Health-related and skill-related components of fitness can improve
- cardiovascular and musculoskeletal health
- metabolic function
- cognitive function
- sleep quality
- energy levels
- self-confidence and self-esteem
- mental well-being"
OI.1.GQ.1.LO.1.U.1.SP.1,Reflect on personal factors that influence commitment to regular physical activity.
OI.1.GQ.1.LO.1.U.1.SP.2,Explore health-related and skill-related components of fitness.
OI.1.GQ.1.LO.1.U.1.SP.3,"Reflect on personal strengths, interests, challenges, and goals as they relate to health-related and skill-related components of fitness."
OI.1.GQ.1.LO.1.U.1.SP.4,"Participate in a variety of physical activities at school, with family, or in the community."
OI.2,Movement Skill Development: Movement skill development is a foundational component of becoming a physically literate individual.
OI.2.GQ.2,How can feedback facilitate the development of movement patterns and skills?
OI.2.GQ.2.LO.2,Students refine movement patterns and skills in a variety of physical activities.
OI.2.GQ.2.LO.2.U.1,Individual mastery of movement patterns and skills can change through experiencing various physical activities and contexts.
OI.2.GQ.2.LO.2.U.1.K.1,Refinement of movement patterns and skills contributes to the pursuit of mastery and the ability to transition from one skill to another in various physical activity contexts.
OI.2.GQ.2.LO.2.U.1.K.2,"The ability to transition from one skill to another in various physical activity contexts, e.g., from receiving or catching an object to propelling or throwing the object, can affect performance and be improved through practice and refinement."
OI.2.GQ.2.LO.2.U.1.K.3,Refinement of movement patterns and skills can be enhanced through intrinsic and extrinsic feedback methods.
OI.2.GQ.2.LO.2.U.1.K.4,"Feedback methods in physical activity contexts can incorporate technology, such as video and wearable software applications."
OI.2.GQ.2.LO.2.U.1.K.5,Object locomotor skills facilitate locomotion while the human body manipulates a secondary source of movement.
OI.2.GQ.2.LO.2.U.1.K.6,"Object locomotor skills are used in activities such as
- cycling
- paddleboarding
- using a wheelchair"
OI.2.GQ.2.LO.2.U.1.K.7,"Factors that can affect transfer of movement patterns and skills include
- the complexity of the movement task
- variables in the physical environment, such as the proximity of an opposing player or the ability to track an object
- the current ability level of an individual"
OI.2.GQ.2.LO.2.U.1.K.8,"Physical fitness can involve rhythmic movement patterns that can improve coordination, creativity, and spontaneity."
OI.2.GQ.2.LO.2.U.1.K.9,"Rhythmic movement patterns can be transferred to other movement experiences, such as sliding to ice skating."
OI.2.GQ.2.LO.2.U.1.SP.1,Practise movement patterns and skills in various physical activity contexts.
OI.2.GQ.2.LO.2.U.1.SP.2,Relate the pursuit of mastery to refinement of movement patterns and skills.
OI.2.GQ.2.LO.2.U.1.SP.3,Apply feedback methods to improve movement patterns and skills.
OI.2.GQ.2.LO.2.U.1.SP.4,Explore the transfer of movement patterns and skills between various physical activities or movement experiences.
OI.2.GQ.2.LO.2.U.1.SP.5,"Relate rhythmic movements to coordination, creativity, and spontaneity."
OI.3,Movement Tactics and Strategies: Developing and applying creative-thinking and decision-making skills through movement is a feature of becoming a physically literate individual.
OI.3.GQ.3,How can incorporating game sense contribute to participation in games and physical activities?
OI.3.GQ.3.LO.3,Students apply game sense in a variety of games and physical activities.
OI.3.GQ.3.LO.3.U.1,Individual and group success in games and physical activities can be enhanced through game sense.
OI.3.GQ.3.LO.3.U.1.K.1,"Game sense is the ability to use tactical awareness, strategic knowledge, and an understanding of one’s current skill level to make real-time decisions within game play."
OI.3.GQ.3.LO.3.U.1.K.2,"Tactical awareness is the ability to identify challenges and to make decisions to address those challenges during games through
- anticipating object and player movement
- evaluating possible responses in positioning, timing, and strategies
- planning a response
- preparing for further responses
- transitioning between offensive and defensive tactics"
OI.3.GQ.3.LO.3.U.1.K.3,"Changing constraints in games or physical activities, including rules, play space, and number of players on a team, can affect the tactics and strategies being applied."
OI.3.GQ.3.LO.3.U.1.K.4,"Tactical awareness enables individuals to adapt tactics and strategies throughout a game or physical activity in response to factors such as
- score
- time remaining
- tactics and strategies of the opposition"
OI.3.GQ.3.LO.3.U.1.K.5,"Assessment and application of tactical awareness and strategic knowledge in games and physical activities involves an understanding of rules, structure, and terminology."
OI.3.GQ.3.LO.3.U.1.K.6,"Offensive tactics are used to gain an advantage against an opponent and include
- communication with teammates
- giving support to a ball carrier
- moving to open spaces
- moving to create space
- shot selection and placement
- reading game play and anticipating situations
- deception"
OI.3.GQ.3.LO.3.U.1.K.7,"Defensive tactics are used to protect an individual or team from an opponent and maintain control and include
- communication with teammates
- applying pressure on an opposing player
- defending space
- reading game play and anticipating situations
- recovering to base or ready position"
OI.3.GQ.3.LO.3.U.1.SP.1,Practise game sense during various games and physical activities.
OI.3.GQ.3.LO.3.U.1.SP.2,Apply tactics and strategies for various games and physical activities.
OI.3.GQ.3.LO.3.U.1.SP.3,Adapt tactics and strategies in response to changing constraints within a game or physical activity.
OI.3.GQ.3.LO.3.U.1.SP.4,Practise transitions between offensive and defensive tactics.
OI.4,Personal and Social Development: Developing personal and social skills through a variety of movement experiences contributes to meaningful participation in physical activity across a lifespan.
OI.4.GQ.4,How can safety and a sense of belonging contribute to participation in games and physical activities?
OI.4.GQ.4.LO.4,Students examine behaviours that promote safety and inclusion in relation to participation in games and physical activities.
OI.4.GQ.4.LO.4.U.1,Behaviours and processes that promote inclusion and safety in physical activities provide positive learning experiences for participants.
OI.4.GQ.4.LO.4.U.1.K.1,Social interactions and a sense of belonging can contribute to purposeful engagement and motivation to participate in physical activity.
OI.4.GQ.4.LO.4.U.1.K.2,"Individual behaviours that promote inclusion in physical activities include
- encouraging and advocating for others
- respecting and celebrating diversity
- demonstrating empathy"
OI.4.GQ.4.LO.4.U.1.K.3,"Group behaviours that promote inclusion in physical activities include
- establishing roles and responsibilities based on individual strengths, talents, and assets
- modifying rules to increase participation
- collaborating with others"
OI.4.GQ.4.LO.4.U.1.K.4,"Individual behaviours that promote safety in physical activities include
- respecting rules and guidelines
- demonstrating etiquette and sportsmanship
- using equipment properly
- assessing physical activity risks"
OI.4.GQ.4.LO.4.U.1.K.5,"Group behaviours that promote safety in physical activities include
- establishing and applying conflict-resolution strategies
- respecting rules and guidelines
- using equipment properly"
OI.4.GQ.4.LO.4.U.1.K.6,"Warming up and cooling down are routines used by individuals or groups for safe physical exertion, and have benefits that include
- increased flexibility and range of motion
- lower risk of injury
- increased blood flow and improved use of oxygen"
OI.4.GQ.4.LO.4.U.1.SP.1,Explore individual and group behaviours that promote inclusion during games and physical activities.
OI.4.GQ.4.LO.4.U.1.SP.2,"Relate individual strengths, talents, and assets to roles and responsibilities in games and physical activities."
OI.4.GQ.4.LO.4.U.1.SP.3,Exhibit individual and group behaviours that promote safety when participating in games and physical activities.
OI.4.GQ.4.LO.4.U.1.SP.4,Practise behaviours and routines that promote safety in a variety of games and physical activities.
OI.4.GQ.4.LO.4.U.1.SP.5,Participate in warm-ups and cool-downs.
OI.4.GQ.5,How can communication foster cooperation and the ability to resolve conflict in games and physical activities?
OI.4.GQ.5.LO.5,Students apply conflict resolution in a variety of games and physical activity contexts.
OI.4.GQ.5.LO.5.U.1,Communication strategies aimed at resolving conflict in games and physical activities can support cooperation between team members.
OI.4.GQ.5.LO.5.U.1.K.1,"Strategies to support conflict resolution in games and physical activities include
- active listening
- mediation
- negotiation
- compromise"
OI.4.GQ.5.LO.5.U.1.K.2,The development of leadership skills can have a positive effect on conflict resolution.
OI.4.GQ.5.LO.5.U.1.K.3,"Leadership and followership contribute to conflict resolution by
- encouraging cooperation and collaboration
- demonstrating active listening
- modelling behaviour
- promoting safety and inclusion"
OI.4.GQ.5.LO.5.U.1.K.4,"Actions that support conflict resolution include
- confronting the problem
- engaging in active listening with all those involved
- seeking and respecting consent
- appreciating different perspectives
- apologizing when necessary
- being assertive"
OI.4.GQ.5.LO.5.U.1.SP.1,Explore a variety of roles within various games and physical activities.
OI.4.GQ.5.LO.5.U.1.SP.2,Examine actions that can support the conflict-resolution process in games and physical activities.
OI.4.GQ.5.LO.5.U.1.SP.3,Discuss how followership supports leadership in resolving conflict.
OI.5,Food Literacy: A lifetime of optimal well-being and physical wellness is supported by prioritizing nutrition and food literacy.
OI.5.GQ.6,What impact does food literacy have on health and nutrition?
OI.5.GQ.6.LO.6,Students analyze connections between food literacy and health and nutrition.
OI.5.GQ.6.LO.6.U.1,"Food literacy can be enhanced through an understanding of nutrition, food safety, and cultural considerations."
OI.5.GQ.6.LO.6.U.1.K.1,"Nutritional and food safety information can be considered more reliable when attained from credible sources, such as registered dieticians and government or public health agencies."
OI.5.GQ.6.LO.6.U.1.K.2,"Nutritional requirements can change during different life stages; for example, adolescents require additional calcium and vitamin D to facilitate bone growth."
OI.5.GQ.6.LO.6.U.1.K.3,Meeting changing nutritional requirements across a lifespan can reduce the risk of disease and provides essential micro- and macronutrients.
OI.5.GQ.6.LO.6.U.1.K.4,Inadequate nutrition can contribute to the development and progression of chronic health conditions.
OI.5.GQ.6.LO.6.U.1.K.5,"Decisions related to food choices can be influenced by social media and advertising that promote popular eating plans, which are not backed by scientific evidence."
OI.5.GQ.6.LO.6.U.1.K.6,Unhealthy or restrictive eating patterns may not provide adequate nutrition and can have adverse effects on an individual’s health and well-being.
OI.5.GQ.6.LO.6.U.1.K.7,"Food safety practices to prevent contamination and spoilage and reduce the risk of food-borne illness include
- handling food hygienically and preventing cross-contamination
- chilling, cooking, and reheating food thoroughly
- adhering to food storage and preservation instructions"
OI.5.GQ.6.LO.6.U.1.K.8,"Food additives, which can be natural, e.g., salt or lemon, or artificial, e.g., food colouring, help maintain nutritional value, extend shelf life, enhance appearance, and aid in processing, packaging, or storage."
OI.5.GQ.6.LO.6.U.1.K.9,"Compared with food from commercial sources, foods harvested from the land absorb nutrients from the soil, enhancing their taste, quality, appearance, and nutritional value."
OI.5.GQ.6.LO.6.U.1.K.10,"Culture can shape food choices by influencing ingredients used, cooking methods, meal structures, and social customs related to food."
OI.5.GQ.6.LO.6.U.1.SP.1,Identify credible sources for nutritional information.
OI.5.GQ.6.LO.6.U.1.SP.2,Examine nutritional requirements during adolescence.
OI.5.GQ.6.LO.6.U.1.SP.3,Consider the role of social media and advertising in food choice.
OI.5.GQ.6.LO.6.U.1.SP.4,Relate food safety practices to the reduction of food contamination and spoilage.
OI.5.GQ.6.LO.6.U.1.SP.5,Explore natural and artificial food additives.
OI.5.GQ.6.LO.6.U.1.SP.6,Discuss the effect that inadequate nutrition can have on the body.
OI.5.GQ.6.LO.6.U.1.SP.7,Identify differences between foods obtained from the land and foods obtained from commercial sources.
OI.5.GQ.6.LO.6.U.1.SP.8,Discuss cultural influences on food choices.
OI.6,Safety: A lifetime of optimal well-being is supported by prioritizing health and safety.
OI.6.GQ.7,What factors can influence the health and safety of adolescents?
OI.6.GQ.7.LO.7,Students examine social and emotional skills in relation to health and safety.
OI.6.GQ.7.LO.7.U.1,Health and safety risks can be managed by developing and using social and emotional skills.
OI.6.GQ.7.LO.7.U.1.K.1,"Adolescents become susceptible to health and safety risks due to
- increased peer influence
- increased tendency to make risky choices for short-term benefits
- ongoing maturation of brain structure and function
- decreased impulse control"
OI.6.GQ.7.LO.7.U.1.K.2,"Unsafe situations can arise online, in the home, at school, and in the community."
OI.6.GQ.7.LO.7.U.1.K.3,"Individuals can reduce susceptibility to unsafe situations through the development of social and emotional skills, including
- responsible decision making
- self-awareness
- self-management
- relationship building
- social awareness"
OI.6.GQ.7.LO.7.U.1.K.4,Responsible decision making is enabled through evaluating the benefits and consequences of various activities or a course of action.
OI.6.GQ.7.LO.7.U.1.K.5,Self-awareness can be improved through mindfulness practices and exercising agency.
OI.6.GQ.7.LO.7.U.1.K.6,"Self-management is supported through
- accessing accurate health information
- implementing strategies to reduce negative stress
- making evidence-informed decisions
- engaging in regular physical activity and limiting sedentary behaviours
- making balanced food choices
- establishing a sleep routine
- avoiding substances that have negative consequences"
OI.6.GQ.7.LO.7.U.1.K.7,"Support in the community can assist individuals in developing social and emotional skills by providing access to mentorship, counselling, and group activities."
OI.6.GQ.7.LO.7.U.1.SP.1,Discuss adolescent susceptibility to health and safety risks.
OI.6.GQ.7.LO.7.U.1.SP.2,"Reflect on unsafe situations that adolescents face online, at home, at school, and in the community."
OI.6.GQ.7.LO.7.U.1.SP.3,Role-play responses that support safety in scenarios that involve unsafe situations.
OI.6.GQ.7.LO.7.U.1.SP.4,Relate social and emotional skills to health and safety in various situations.
OI.6.GQ.7.LO.7.U.1.SP.5,Identify supports within the community that contribute to responsible decision making regarding health and safety.
OI.7,"Growth and Development: Positive sexual health, developed and affirmed through informed decision making, supports well-being."
OI.7.GQ.8,In what ways can sexual health support healthy living?
OI.7.GQ.8.LO.8,Students relate sexual health practices to healthy living.
OI.7.GQ.8.LO.8.U.1,Sexual health can impact healthy living.
OI.7.GQ.8.LO.8.U.1.K.1,"Healthy living incorporates health-promoting practices into everyday life and involves having the physical, social, emotional, and mental capacity to make healthy choices."
OI.7.GQ.8.LO.8.U.1.K.2,"Health-promoting practices related to sexual health include
- prevention and management of STBBIs
- fertility management
- respectful and safe sexual behaviours"
OI.7.GQ.8.LO.8.U.1.K.3,"Personal decisions about sexual activity can change over time and be influenced by
- physical and emotional maturity
- alcohol and drugs
- peers
- values and beliefs
- protective factors"
OI.7.GQ.8.LO.8.U.1.K.4,"Protective factors that can support responsible decision making regarding sexual health include school connectedness, social supports, positive self-concept, and positive adult role models."
OI.7.GQ.8.LO.8.U.1.K.5,"Factors influencing an individual’s choice of a contraceptive method include
- allergies
- access
- personal beliefs
- cost
- effectiveness"
OI.7.GQ.8.LO.8.U.1.K.6,"The effectiveness of different methods of contraception is impacted by function, consistency, and correct use."
OI.7.GQ.8.LO.8.U.1.K.7,Individuals with an STBBI can seek diagnosis and treatment from community-based health professionals.
OI.7.GQ.8.LO.8.U.1.K.8,"Risk of acquiring or transmitting STBBIs can be reduced by
- limiting sexual activity
- practising safer sex
- disclosing to previous, current, or future partners
- testing and early treatment"
OI.7.GQ.8.LO.8.U.1.K.9,STBBI-related stigma could impact personal decisions related to the prevention and management of STBBIs.
OI.7.GQ.8.LO.8.U.1.K.10,It is illegal for individuals under the age of 18 (minors) to be in possession of or to distribute sexually explicit material.
OI.7.GQ.8.LO.8.U.1.K.11,"Concerns related to the possession and distribution of sexually explicit material can be shared with
- parents
- school staff, e.g., administrators, counsellors, teachers, and resource officers
- community organizations
- national helplines"
OI.7.GQ.8.LO.8.U.1.K.12,"Possible harmful effects of exposure to sexually explicit material include
- unrealistic expectations related to sexual activity and sexual relationships
- unrealistic body images
- portrayal of sexual violence or aggression
- modelling of unsafe sexual practices"
OI.7.GQ.8.LO.8.U.1.SP.1,Discuss influences on personal decisions about sexual activity.
OI.7.GQ.8.LO.8.U.1.SP.2,Describe effective methods of contraception.
OI.7.GQ.8.LO.8.U.1.SP.3,"Research symptoms, effects, treatments, and prevention of STBBIs."
OI.7.GQ.8.LO.8.U.1.SP.4,Explore community-based resources for testing and treating STBBIs.
OI.7.GQ.8.LO.8.U.1.SP.5,Describe harmful effects associated with exposure to sexually explicit material.
OI.7.GQ.8.LO.8.U.1.SP.6,Identify laws governing the possession and distribution of sexually explicit material.
OI.8,"Healthy Sexual Relationships: Personal well-being can be supported through healthy sexual relationships built on respect, communication, and trust."
OI.8.GQ.9,To what extent can multiple influences impact sexual relationships?
OI.8.GQ.9.LO.9,Students analyze factors that impact sexual relationships.
OI.8.GQ.9.LO.9.U.1,Sexual relationships are impacted by interrelated factors.
OI.8.GQ.9.LO.9.U.1.K.1,"Factors that can impact sexual relationships include
- personal
- social
- legal
- cultural or religious"
OI.8.GQ.9.LO.9.U.1.K.2,"Personal factors that can impact sexual relationships include
- physical, cognitive, social, and emotional maturity
- access to and use of sexual health information
- self-esteem"
OI.8.GQ.9.LO.9.U.1.K.3,"Social factors that can impact sexual relationships include social norms, peer pressure, social media, and family values."
OI.8.GQ.9.LO.9.U.1.K.4,"Legal factors that can impact sexual relationships include
- age of consent laws
- sexual abuse, including sexual harassment and sexual assault"
OI.8.GQ.9.LO.9.U.1.K.5,"Obtaining consent includes ensuring that an individual fully understands the choices available, appreciates the implications of their decisions, and clearly communicates their choice."
OI.8.GQ.9.LO.9.U.1.K.6,Communication establishes boundaries that are necessary for healthy sexual relationships.
OI.8.GQ.9.LO.9.U.1.K.7,"Sexual harassment is unwanted or unwelcome sexual behaviour that may or may not involve sexual activity and can be verbal, non-verbal, or physical."
OI.8.GQ.9.LO.9.U.1.K.8,Sexual assault is any form of sexual activity without consent.
OI.8.GQ.9.LO.9.U.1.K.9,Any type of sexual abuse should be reported.
OI.8.GQ.9.LO.9.U.1.K.10,"Trusted sources of support to whom sexual abuse can be reported include
- parents or caregivers
- teachers or trusted adults
- police"
OI.8.GQ.9.LO.9.U.1.K.11,Cultural or religious factors that influence sexual relationships include values and beliefs.
OI.8.GQ.9.LO.9.U.1.K.12,"Positive impacts of healthy sexual relationships include
- a sense of belonging
- emotional connection
- positive self-esteem
- companionship
- vulnerability
- commitment"
OI.8.GQ.9.LO.9.U.1.SP.1,Examine various factors that impact sexual relationships.
OI.8.GQ.9.LO.9.U.1.SP.2,Relate social and emotional maturity to decision making about sexual activity.
OI.8.GQ.9.LO.9.U.1.SP.3,Discuss the role of communication in sexual relationships.
OI.8.GQ.9.LO.9.U.1.SP.4,Examine Canadian laws related to age of consent.
OI.8.GQ.9.LO.9.U.1.SP.5,Compare sexual harassment and sexual assault.
OI.8.GQ.9.LO.9.U.1.SP.6,Identify trusted sources of support to whom an individual can report sexual abuse.
OI.8.GQ.9.LO.9.U.1.SP.7,Identify positive impacts of healthy sexual relationships.
OI.9,"Healthy Social Relationships: Personal well-being is supported through healthy relationships built on respect, communication, and trust."
OI.9.GQ.10,How are healthy relationships maintained and supported?
OI.9.GQ.10.LO.10,Students relate social awareness to healthy relationships.
OI.9.GQ.10.LO.10.U.1,"Social awareness contributes to building, maintaining, and supporting healthy relationships."
OI.9.GQ.10.LO.10.U.1.K.1,"Social awareness supports healthy relationships and involves
- understanding social norms in different settings
- demonstrating empathy
- recognizing negative social behaviours
- recognizing positive supports
- appreciating diverse cultural perspectives"
OI.9.GQ.10.LO.10.U.1.K.2,"Behaviour in relationships can be influenced by personal motivators, e.g., individual attitudes and beliefs about relationships; social motivators, e.g., social norms and perceptions of social support; and cultural motivators, e.g., cultural attitudes and beliefs about relationships."
OI.9.GQ.10.LO.10.U.1.K.3,"Individuals in relationships share the responsibility to establish, maintain, or repair those relationships."
OI.9.GQ.10.LO.10.U.1.K.4,"Abuse is a negative social behaviour that results in physical, social, or emotional harm and should never be tolerated in any relationship."
OI.9.GQ.10.LO.10.U.1.K.5,"Individuals experiencing any form of abuse can seek assistance from
- family
- peers
- teachers
- trusted adults
- health professionals"
OI.9.GQ.10.LO.10.U.1.K.6,"Supportive behaviours in healthy relationships include
- enjoying time together
- offering to help
- engaging in active listening
- sharing experiences recommending supportive professionals"
OI.9.GQ.10.LO.10.U.1.SP.1,Explore social awareness in various contexts.
OI.9.GQ.10.LO.10.U.1.SP.2,Reflect on the influence of motivators on personal relationships.
OI.9.GQ.10.LO.10.U.1.SP.3,Discuss potential impacts of negative social behaviour on relationships.
OI.9.GQ.10.LO.10.U.1.SP.4,Identify sources of assistance that are available in the community when experiencing abuse.
OI.9.GQ.10.LO.10.U.1.SP.5,Role-play scenarios involving supportive behaviours.
OI.9.GQ.10.LO.10.U.1.SP.6,"Identify forms of abuse and examples of how it might manifest in relationships, including verbal, emotional, and psychological abuse."
OI.10,Mental Well-Being: Developing and affirming skills that support mental health contribute to well-being.
OI.10.GQ.11,In what way can resilience support mental health and well-being?
OI.10.GQ.11.LO.11,Students examine factors that influence mental health and well-being.
OI.10.GQ.11.LO.11.U.1,Resilience can be strengthened by using protective factors when facing mental health challenges.
OI.10.GQ.11.LO.11.U.1.K.1,Mental well-being can shift and change over time.
OI.10.GQ.11.LO.11.U.1.K.2,"Changes during adolescence that can affect mental well-being include
- brain development
- puberty
- peer influence
- decision making
- stress response
- sleep habits"
OI.10.GQ.11.LO.11.U.1.K.3,"Stress can lead to negative social behaviours that can impact healthy relationships with family, peers, community, and self."
OI.10.GQ.11.LO.11.U.1.K.4,"The body’s response to stress is managed through the nervous system and can trigger a fight, flight, freeze, or fawn response."
OI.10.GQ.11.LO.11.U.1.K.5,"Mental health challenges can arise from exposure to prolonged or repeated stress, or from experiencing a significant stressful event."
OI.10.GQ.11.LO.11.U.1.K.6,"Protective factors that contribute to an individual’s resilience and mental well-being include
- dependable friends
- positive self-concept
- school and community connectedness
- emotional support from family"
OI.10.GQ.11.LO.11.U.1.K.7,"Risk factors that affect mental health can be
- biological, e.g., hormonal shifts
- social, e.g., peer pressure
- psychological, e.g., thinking patterns
- historical, e.g., childhood experiences, generational trauma"
OI.10.GQ.11.LO.11.U.1.K.8,Resilience can be developed by practising protective strategies to support self-awareness and self-management.
OI.10.GQ.11.LO.11.U.1.K.9,"Resilience can enable individuals to
- identify emotions
- regulate stress responses
- recover appropriately from stress
- overcome challenges
- use available resources
- seek help when needed"
