Code,OI/LO/KUSP
OI.1,"Career Exploration: Purposeful exploration of past and present experiences can support a healthy work-life balance, contribute to self-knowledge, and assist in navigating transitions while pursuing career and educational goals."
OI.1.GQ.1,How can perceptions of oneself support reaching personal potential?
OI.1.GQ.1.LO.1,Students explore self-image in relation to career aspirations.
OI.1.GQ.1.LO.1.U.1,Positive self-image can influence career aspirations.
OI.1.GQ.1.LO.1.U.1.K.1,"Career is a lifelong combination of roles, experiences, and education."
OI.1.GQ.1.LO.1.U.1.K.2,Self-image is how an individual sees themselves and their potential.
OI.1.GQ.1.LO.1.U.1.K.3,"Self-image influences confidence, motivation, and perseverance."
OI.1.GQ.1.LO.1.U.1.K.4,"Beliefs, interests, and values contribute to self-image."
OI.1.GQ.1.LO.1.U.1.K.5,Self-image can inform career goals and aspirations.
OI.1.GQ.1.LO.1.U.1.K.6,Career aspirations are strong desires or ambitions that guide career goals and can be the beginning of a career exploration.
OI.1.GQ.1.LO.1.U.1.K.7,"Goal setting involves developing a plan, with clear steps to achieve a goal."
OI.1.GQ.1.LO.1.U.1.K.8,Transitions happen throughout life and can be anticipated or unexpected.
OI.1.GQ.1.LO.1.U.1.K.9,"Emotions, including anger, fear, and happiness, are normal responses to transition."
OI.1.GQ.1.LO.1.U.1.SP.1,Engage in conversations with various people about careers.
OI.1.GQ.1.LO.1.U.1.SP.2,Describe the importance of lifelong learning.
OI.1.GQ.1.LO.1.U.1.SP.3,"Examine personal beliefs, interests, and values in relation to self-image."
OI.1.GQ.1.LO.1.U.1.SP.4,Reflect on personal potential in relation to self-image.
OI.1.GQ.1.LO.1.U.1.SP.5,Explore career aspirations.
OI.1.GQ.1.LO.1.U.1.SP.6,Set career goals related to career aspirations.
OI.1.GQ.1.LO.1.U.1.SP.7,Analyze personal experiences and responses to transitions.
OI.1.GQ.1.LO.1.U.1.SP.8,Anticipate future transitions.
OI.2,Career Opportunities: Volunteer or work-integrated learning experiences can influence career development and promote world-of-work and community interactions.
OI.2.GQ.2,How can experiences guide future choices?
OI.2.GQ.2.LO.2,Students examine the influence of experiences on employment preferences.
OI.2.GQ.2.LO.2.U.1,Experiences can inform career choices.
OI.2.GQ.2.LO.2.U.1.K.1,"Experiences can be extracurricular, curricular, and related to work, e.g., volunteering or entrepreneurship opportunities."
OI.2.GQ.2.LO.2.U.1.K.2,"Volunteering can be accessed at school, e.g., peer mentoring, or in the community, e.g., camp counselling."
OI.2.GQ.2.LO.2.U.1.K.3,Entrepreneurship opportunities can be ventures based on an entrepreneur’s ideas.
OI.2.GQ.2.LO.2.U.1.K.4,Choices related to work can be based on personal preferences.
OI.2.GQ.2.LO.2.U.1.K.5,"Individuals can work in different environments or combinations of environments, such as
- indoor or outdoor
- in-person or virtual
- near or far from home"
OI.2.GQ.2.LO.2.U.1.K.6,Work can be independent or with a team.
OI.2.GQ.2.LO.2.U.1.K.7,"Individuals can be employed by others or self-employed, e.g., entrepreneurs."
OI.2.GQ.2.LO.2.U.1.K.8,Employment hours can be full-time or part-time.
OI.2.GQ.2.LO.2.U.1.K.9,Employment schedules can be regular or casual.
OI.2.GQ.2.LO.2.U.1.K.10,"Employment contracts can be permanent or temporary, e.g., seasonal contracts."
OI.2.GQ.2.LO.2.U.1.K.11,Choices related to employment can foster work-life balance.
